"cat_id","parent_cat_id","category","category_image","category_icon","cat_status","cat_deleted","cat_add_date","cat_modified_date","added_by_admin","modified_by_admin","deleted_by_admin"
"3","0","MEO CLASS I ORALS",,,"1","0","2020-08-29 17:58:18","2025-03-10 13:51:06","8","0","8"
"4","0","MEO CLASS I WRITTENS",,,"1","0","2020-08-29 18:29:41","2025-03-10 13:51:06","8","0","8"
"5","0","EXTRA FIRST CLASS",,,"1","0","2020-08-29 18:30:01","2025-03-10 13:51:06","8","0","8"
"6","0","MEO CLASS 2 ORALS",,,"1","0","2020-08-29 18:30:15","2025-03-10 13:51:06","8","0","8"
"7","0","MEO CLASS 2 WRITTENS",,,"1","0","2020-08-29 18:30:31","2025-03-10 13:51:06","8","0","8"
"8","0","MEO CLASS 4 ORALS",,,"1","0","2020-08-29 18:30:45","2025-03-10 13:51:06","8","0","8"
"15","0","ELECTRICAL",,,"1","0","2024-05-10 11:47:08","2024-10-10 01:37:53","8","0","8"
"16","0","SAFETY",,,"1","0","2024-05-14 19:27:53","2024-10-10 01:37:53","8","0","8"
"17","0","MEP",,,"0","0","2024-06-15 11:10:39","2025-10-10 06:22:44","8","0","8"
"21","0","nisa deliyanti",,,"1","1","2024-07-15 18:01:14","2025-03-27 08:15:13","8","0","8"
"27","0","The  D3athsec",,,"1","1","2025-02-22 18:10:03","2025-03-27 08:15:13","8","0","8"
